"Refs","Value","Footprint","Qty","DNP"
"BOOT1","TS36CA-0.6","Cadenza-re-easyedapro:SW-SMD_TS36CA","1",""
"C1","22uF","Cadenza-re-easyedapro:C0805","1",""
"C2","10uF","Cadenza-re-easyedapro:C0805","1",""
"C3","22uF","Cadenza-re-easyedapro:C0805","1",""
"C4","10uF","Cadenza-re-easyedapro:C0805","1",""
"C5","22uF","Cadenza-re-easyedapro:C0805","1",""
"C6","22uF","Cadenza-re-easyedapro:C0805","1",""
"C7","22uF","Cadenza-re-easyedapro:C0805","1",""
"C8","22uF","Cadenza-re-easyedapro:C0805","1",""
"C9","22uF","Cadenza-re-easyedapro:C0805","1",""
"C10","100nF","Cadenza-re-easyedapro:C0805","1",""
"C11","10uF","Cadenza-re-easyedapro:C0805","1",""
"C12","100nF","Cadenza-re-easyedapro:C0805","1",""
"C13","10uF","Cadenza-re-easyedapro:C0805","1",""
"C14","100nF","Cadenza-re-easyedapro:C0805","1",""
"C15","1uF","Cadenza-re-easyedapro:C0805","1",""
"C16","100nF","Cadenza-re-easyedapro:C0805","1",""
"C17","100nF","Cadenza-re-easyedapro:C0805","1",""
"C18","10uF","Cadenza-re-easyedapro:C0805","1",""
"C19","100nF","Cadenza-re-easyedapro:C0805","1",""
"C20","10uF","Cadenza-re-easyedapro:C0805","1",""
"C21","100nF","Cadenza-re-easyedapro:C0805","1",""
"C22","10uF","Cadenza-re-easyedapro:C0805","1",""
"C23","10uF","Cadenza-re-easyedapro:C0805","1",""
"C24","100nF","Cadenza-re-easyedapro:C0805","1",""
"C25","100nF","Cadenza-re-easyedapro:C0805","1",""
"C26","10uF","Cadenza-re-easyedapro:C0805","1",""
"CARD1","TF PUSH","Cadenza-re-easyedapro:TF-SMD_TF-PUSH","1",""
"CN1","HC-1.25-2PWT","Cadenza-re-easyedapro:CONN-SMD_2P-P1.25-HC-1.25-2PWT","1",""
"FPC1","FPC-05F-12PH20","Cadenza-re-easyedapro:FPC-SMD_12P-P0.50_FPC-05F-12PH20","1",""
"H1","WAFER-PH2.0-2PWB","Cadenza-re-easyedapro:","1",""
"KEY1","HX TS665WS 200gf","Cadenza-re-easyedapro:KEY-SMD_L6.0-W6.0-LS6.6","1",""
"KEY2","HX TS665WS 200gf","Cadenza-re-easyedapro:KEY-SMD_L6.0-W6.0-LS6.6","1",""
"KEY3","HX TS665WS 200gf","Cadenza-re-easyedapro:KEY-SMD_L6.0-W6.0-LS6.6","1",""
"KEY4","HX TS665WS 200gf","Cadenza-re-easyedapro:KEY-SMD_L6.0-W6.0-LS6.6","1",""
"KEY5","HX TS665WS 200gf","Cadenza-re-easyedapro:KEY-SMD_L6.0-W6.0-LS6.6","1",""
"KEY6","HX TS665WS 200gf","Cadenza-re-easyedapro:KEY-SMD_L6.0-W6.0-LS6.6","1",""
"L1","1uH","Cadenza-re-easyedapro:L0805","1",""
"L2","2.2uH","Cadenza-re-easyedapro:IND-SMD_L3.0-W3.0_FNR30XXS","1",""
"LED1","XL-2012UOC","Cadenza-re-easyedapro:LED0805-RD_ORANGE","1",""
"LED2","XL-2020RGBC-2812B","Cadenza-re-easyedapro:LED-SMD_4P-L2.0-W2.0-BR-1","1",""
"Q1","UMH3N","Cadenza-re-easyedapro:","1",""
"Q2","SS8050","Cadenza-re-easyedapro:","1",""
"R1","5.1kΩ","Cadenza-re-easyedapro:R0805","1",""
"R2","5.1kΩ","Cadenza-re-easyedapro:R0805","1",""
"R3","100kΩ","Cadenza-re-easyedapro:R0805","1",""
"R4","2Ω","Cadenza-re-easyedapro:R0805","1",""
"R5","500mΩ","Cadenza-re-easyedapro:R0805","1",""
"R6","680kΩ","Cadenza-re-easyedapro:R0805","1",""
"R7","1kΩ","Cadenza-re-easyedapro:R0805","1",""
"R8","100kΩ","Cadenza-re-easyedapro:R0805","1",""
"R9","150kΩ","Cadenza-re-easyedapro:R0805","1",""
"R10","10kΩ","Cadenza-re-easyedapro:R0805","1",""
"R11","10kΩ","Cadenza-re-easyedapro:R0805","1",""
"R12","100kΩ","Cadenza-re-easyedapro:R0805","1",""
"R13","2.2kΩ","Cadenza-re-easyedapro:R0805","1",""
"R14","10kΩ","Cadenza-re-easyedapro:R0805","1",""
"R15","100kΩ","Cadenza-re-easyedapro:R0805","1",""
"R16","10kΩ","Cadenza-re-easyedapro:R0805","1",""
"R17","10kΩ","Cadenza-re-easyedapro:R0805","1",""
"R18","10kΩ","Cadenza-re-easyedapro:R0805","1",""
"R19","22Ω","Cadenza-re-easyedapro:R0805","1",""
"RST1","TS36CA-0.6","Cadenza-re-easyedapro:SW-SMD_TS36CA","1",""
"SCREW1","","Cadenza-re-easyedapro:M2螺丝","1",""
"SCREW2","","Cadenza-re-easyedapro:M2螺丝","1",""
"SCREW3","","Cadenza-re-easyedapro:M2螺丝","1",""
"SCREW4","","Cadenza-re-easyedapro:M2螺丝","1",""
"SW1","SK12D07VG4-BF","Cadenza-re-easyedapro:SW-TH_SK12D07VG4-BF","1",""
"SW2","10*10*9-6P WX","Cadenza-re-easyedapro:SW-SMD-6P-L10.5-W10.0_C2858290","1",""
"U1","IP5306","Cadenza-re-easyedapro:ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","1",""
"U2","TLV62568DBVR","Cadenza-re-easyedapro:SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","1",""
"U3","CH340C","Cadenza-re-easyedapro:SOP-16_L10.0-W3.9-P1.27-LS6.0-BL","1",""
"U4","ESP32-S3-WROOM-1-N16R8","Cadenza-re-easyedapro:WIRELM-SMD_ESP32-S3-WROOM-1","1",""
"U5","MAX98357AETE+T","Cadenza-re-easyedapro:TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5","1",""
"U6","ME6210A33M3G","Cadenza-re-easyedapro:SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR","1",""
"U7","ICS-43434","Cadenza-re-easyedapro:MIC-SMD_6P-L3.5-W2.7-P0.90-BL","1",""
"USB1","HX-TYPE-C 16P 180 LC-B H15.0","Cadenza-re-easyedapro:USB-C-TH_HX-TYPE-C-16P-180LC-BH15.0","1",""
