"Designator","Comment","Footprint","LCSC Part #","Manufacturer Part","Manufacturer","Quantity"
"BOOT1","TS36CA-0.6","Cadenza-re-easyedapro:SW-SMD_TS36CA","C2681481","TS36CA-0.6","SHOU HAN(首韩)","1"
"C1","22uF","Cadenza-re-easyedapro:C0805","C45783","CL21A226MAQNNNE","SAMSUNG(三星)","1"
"C2","10uF","Cadenza-re-easyedapro:C0805","C6119887","CGA0805X5R106K250MT","HRE(芯声)","1"
"C3","22uF","Cadenza-re-easyedapro:C0805","C45783","CL21A226MAQNNNE","SAMSUNG(三星)","1"
"C4","10uF","Cadenza-re-easyedapro:C0805","C6119887","CGA0805X5R106K250MT","HRE(芯声)","1"
"C5","22uF","Cadenza-re-easyedapro:C0805","C45783","CL21A226MAQNNNE","SAMSUNG(三星)","1"
"C6","22uF","Cadenza-re-easyedapro:C0805","C45783","CL21A226MAQNNNE","SAMSUNG(三星)","1"
"C7","22uF","Cadenza-re-easyedapro:C0805","C45783","CL21A226MAQNNNE","SAMSUNG(三星)","1"
"C8","22uF","Cadenza-re-easyedapro:C0805","C45783","CL21A226MAQNNNE","SAMSUNG(三星)","1"
"C9","22uF","Cadenza-re-easyedapro:C0805","C45783","CL21A226MAQNNNE","SAMSUNG(三星)","1"
"C10","100nF","Cadenza-re-easyedapro:C0805","C5137467","FCC0805B104K500DT","FOJAN(富捷)","1"
"C11","10uF","Cadenza-re-easyedapro:C0805","C6119887","CGA0805X5R106K250MT","HRE(芯声)","1"
"C12","100nF","Cadenza-re-easyedapro:C0805","C5137467","FCC0805B104K500DT","FOJAN(富捷)","1"
"C13","10uF","Cadenza-re-easyedapro:C0805","C6119887","CGA0805X5R106K250MT","HRE(芯声)","1"
"C14","100nF","Cadenza-re-easyedapro:C0805","C5137467","FCC0805B104K500DT","FOJAN(富捷)","1"
"C15","1uF","Cadenza-re-easyedapro:C0805","C6119929","CGA0805X7R105K500MT","HRE(芯声)","1"
"C16","100nF","Cadenza-re-easyedapro:C0805","C5137467","FCC0805B104K500DT","FOJAN(富捷)","1"
"C17","100nF","Cadenza-re-easyedapro:C0805","C5137467","FCC0805B104K500DT","FOJAN(富捷)","1"
"C18","10uF","Cadenza-re-easyedapro:C0805","C6119887","CGA0805X5R106K250MT","HRE(芯声)","1"
"C19","100nF","Cadenza-re-easyedapro:C0805","C5137467","FCC0805B104K500DT","FOJAN(富捷)","1"
"C20","10uF","Cadenza-re-easyedapro:C0805","C6119887","CGA0805X5R106K250MT","HRE(芯声)","1"
"C21","100nF","Cadenza-re-easyedapro:C0805","C5137467","FCC0805B104K500DT","FOJAN(富捷)","1"
"C22","10uF","Cadenza-re-easyedapro:C0805","C6119887","CGA0805X5R106K250MT","HRE(芯声)","1"
"C23","10uF","Cadenza-re-easyedapro:C0805","C6119887","CGA0805X5R106K250MT","HRE(芯声)","1"
"C24","100nF","Cadenza-re-easyedapro:C0805","C5137467","FCC0805B104K500DT","FOJAN(富捷)","1"
"C25","100nF","Cadenza-re-easyedapro:C0805","C5137467","FCC0805B104K500DT","FOJAN(富捷)","1"
