Ref,Val,Package,PosX,PosY,Rot,Side
"KEY1","","KEY-SMD_L6.0-W6.0-LS6.6",204.925000,-83.725000,0.000000,bottom
"KEY2","","KEY-SMD_L6.0-W6.0-LS6.6",195.725000,-83.725000,0.000000,bottom
"KEY3","","KEY-SMD_L6.0-W6.0-LS6.6",110.525000,-83.725000,180.000000,bottom
"KEY4","","KEY-SMD_L6.0-W6.0-LS6.6",101.325000,-83.725000,180.000000,bottom
"KEY5","","KEY-SMD_L6.0-W6.0-LS6.6",98.500000,-103.675000,180.000000,bottom
"KEY6","","KEY-SMD_L6.0-W6.0-LS6.6",109.000000,-110.225000,180.000000,bottom
"LED2","","LED-SMD_4P-L2.0-W2.0-BR-1",203.995000,-126.604500,0.000000,bottom
"SW2","","SW-SMD-6P-L10.5-W10.0_C2858290",203.995000,-109.725000,180.000000,bottom
"BOOT1","","SW-SMD_TS36CA",133.700500,-82.950000,180.000000,top
"C1","","C0805",168.374500,-94.196500,-90.000000,top
"C2","","C0805",193.200000,-108.575000,180.000000,top
"C3","","C0805",202.125000,-93.025500,90.000000,top
"C4","","C0805",197.312500,-110.992000,180.000000,top
"C5","","C0805",197.825000,-95.050000,90.000000,top
"C6","","C0805",188.495000,-89.507000,0.000000,top
"C7","","C0805",188.495000,-87.455000,0.000000,top
"C8","","C0805",181.005500,-91.128500,180.000000,top
"C9","","C0805",181.005500,-93.135000,180.000000,top
"C10","","C0805",181.005500,-95.167000,180.000000,top
"C11","","C0805",185.003500,-116.560500,180.000000,top
"C12","","C0805",185.003500,-118.694000,180.000000,top
"C13","","C0805",136.172000,-87.504500,-90.000000,top
"C14","","C0805",138.581000,-87.504500,-90.000000,top
"C15","","C0805",131.550000,-90.774500,90.000000,top
"C16","","C0805",126.925000,-82.925000,180.000000,top
"C17","","C0805",170.805000,-85.717000,180.000000,top
"C18","","C0805",109.664000,-124.186000,180.000000,top
"C19","","C0805",109.639500,-122.128500,180.000000,top
"C20","","C0805",165.000000,-119.500000,0.000000,top
"C21","","C0805",169.500000,-119.500000,0.000000,top
"C22","","C0805",169.376000,-105.707500,0.000000,top
"C23","","C0805",126.563000,-119.157000,180.000000,top
"C24","","C0805",126.542500,-121.282000,180.000000,top
"C25","","C0805",106.370000,-94.608000,0.000000,top
"C26","","C0805",106.370000,-96.706500,180.000000,top
"CARD1","","TF-SMD_TF-PUSH",128.574000,-129.027500,0.000000,top
"CN1","","CONN-SMD_2P-P1.25-HC-1.25-2PWT",101.850000,-135.800000,180.000000,top
"C_DISP1","100nF","C0805",169.500000,-109.500000,0.000000,top
"H1","","CONN-SMD_2P-P2.00_XUNPU_WAFER-PH2.0-2PWB",212.116000,-93.026000,-90.000000,top
"J_DISP1","FH34SRJ-10S-0.5SH(50)","Hirose_FH34SRJ-10S-0.5SH_50_1x10_P0.50mm_DualContact",154.625000,-128.500000,0.000000,top
"L1","","L0805",194.442000,-92.033000,0.000000,top
"L2","","IND-SMD_L3.0-W3.0_FNR30XXS",171.507000,-95.179500,0.000000,top
"LED1","","LED0805-RD_ORANGE",160.850000,-135.821000,90.000000,top
"Q1","","SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR",184.076000,-124.031000,180.000000,top
"R1","","R0805",144.604000,-134.893000,180.000000,top
"R2","","R0805",144.604000,-137.171000,0.000000,top
"R3","","R0805",137.098000,-92.036500,-90.000000,top
"R4","","R0805",193.194000,-110.987500,180.000000,top
"R5","","R0805",199.975000,-93.025000,90.000000,top
"R6","","R0805",176.796500,-91.504000,180.000000,top
"R7","","R0805",206.171000,-104.764000,90.000000,top
"R8","","R0805",134.685000,-92.036500,90.000000,top
"R9","","R0805",176.814500,-89.452000,0.000000,top
"R10","","R0805",129.442500,-90.790000,-90.000000,top
"R11","","R0805",133.749000,-87.502500,90.000000,top
"R12","","R0805",114.285000,-125.930500,90.000000,top
"R15","","R0805",107.225000,-90.000000,90.000000,top
"R16","","R0805",120.450000,-120.425000,180.000000,top
"R17","","R0805",132.672000,-119.185500,0.000000,top
"R18","","R0805",132.672000,-121.310000,0.000000,top
"R19","","R0805",152.750000,-124.575000,180.000000,top
"RST1","","SW-SMD_TS36CA",172.550000,-82.949500,180.000000,top
"SCREW1","","M2螺丝",93.125000,-84.725000,0.000000,top
"SCREW2","","M2螺丝",213.125000,-84.725000,0.000000,top
"SCREW3","","M2螺丝",93.125000,-134.725000,0.000000,top
"SCREW4","","M2螺丝",213.125000,-134.725000,0.000000,top
"SW1","","SW-TH_SK12D07VG4-BF",182.022000,-83.925000,180.000000,top
"U1","","ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP",194.100000,-100.725000,0.000000,top
"U2","","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR",176.509500,-94.227000,180.000000,top
"U3","","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL",178.310000,-125.275500,-90.000000,top
"U4","","WIRELM-SMD_ESP32-S3-WROOM-1",153.125000,-96.120000,0.000000,top
"U5","","TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5",111.163000,-127.690000,90.000000,top
"U7","","MIC-SMD_6P-L3.5-W2.7-P0.90-BL",104.093000,-90.997000,180.000000,top
"USB1","","USB-C-TH_HX-TYPE-C-16P-180LC-BH15.0",153.125000,-136.121000,0.000000,top
