Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","",135.500000,-103.600000,0.000000,bottom
"C2","10uF","",139.000000,-98.000000,0.000000,bottom
"C3","10uF","",139.000000,-100.800000,0.000000,bottom
"C10","10uF","",124.000000,-95.000000,0.000000,bottom
"C11","10uF","",124.000000,-97.000000,0.000000,bottom
"C12","22uF","",123.000000,-100.000000,0.000000,bottom
"C13","22uF","",120.000000,-102.000000,0.000000,bottom
"C14","100nF","",128.000000,-90.000000,0.000000,bottom
"C20","10uF","",129.000000,-86.000000,0.000000,bottom
"C21","22uF","",136.000000,-87.000000,0.000000,bottom
"C22","22uF","",139.000000,-87.000000,0.000000,bottom
"C30","1uF","",114.000000,-57.000000,0.000000,bottom
"C31","100nF","",114.000000,-59.800000,0.000000,bottom
"C40","100nF","",64.000000,-60.800000,0.000000,bottom
"C50","10uF","",70.000000,-92.800000,0.000000,bottom
"C51","100nF","",70.000000,-95.600000,0.000000,bottom
"C70","1uF","",122.500000,-105.000000,180.000000,bottom
"C71","1uF","",122.500000,-108.000000,180.000000,bottom
"C80","1uF","",88.000000,-100.800000,0.000000,bottom
"C81","10uF","",139.000000,-69.000000,0.000000,bottom
"C82","100nF","",139.000000,-71.000000,0.000000,bottom
"C90","10uF","",154.000000,-94.000000,0.000000,bottom
"C91","100nF","",157.000000,-94.000000,0.000000,bottom
"FB1","600R@100MHz","",132.000000,-84.000000,0.000000,bottom
"FB2","600R@100MHz","",72.000000,-98.000000,0.000000,bottom
"J4","LiPo 1S","",76.000000,-106.000000,0.000000,bottom
"J5","Speaker 8R 1-2W","",62.000000,-106.000000,0.000000,bottom
"L1","1.2uH Isat>=4.5A","",128.000000,-98.000000,0.000000,bottom
"L2","1uH Isat>=4.5A","",136.000000,-83.000000,0.000000,bottom
"R1","5.1k","",100.000000,-100.000000,0.000000,bottom
"R2","5.1k","",100.000000,-102.800000,0.000000,bottom
"R3","1.5k","",132.000000,-98.000000,0.000000,bottom
"R4","1.18k","",132.000000,-100.800000,0.000000,bottom
"R5","1.5k","",132.000000,-103.600000,0.000000,bottom
"R6","47k","",135.500000,-98.000000,0.000000,bottom
"R7","10k","",135.500000,-100.800000,0.000000,bottom
"R10","470k","",132.000000,-91.000000,0.000000,bottom
"R11","150k","",132.000000,-92.500000,0.000000,bottom
"R20","732k","",129.000000,-81.000000,0.000000,bottom
"R21","100k","",129.000000,-82.500000,0.000000,bottom
"R30","100k","",124.000000,-91.500000,0.000000,bottom
"R40","100R","",64.000000,-58.000000,0.000000,bottom
"R41","100k","",70.000000,-90.000000,0.000000,bottom
"R70","4.7k","",106.000000,-98.000000,0.000000,bottom
"R71","4.7k","",106.000000,-100.800000,0.000000,bottom
"R72","10k","",118.000000,-108.000000,0.000000,bottom
"R73","0.01R 1% 1W 50ppm","R_2512_6332Metric",128.000000,-111.500000,180.000000,bottom
"R74","10k","",136.000000,-108.000000,0.000000,bottom
"R75","100k","",147.000000,-105.500000,0.000000,bottom
"R76","100k","",142.000000,-89.500000,0.000000,bottom
"R77","100k","",145.000000,-107.000000,0.000000,bottom
"R80","10k","",88.000000,-98.000000,0.000000,bottom
"R90","10k","",146.000000,-92.000000,0.000000,bottom
"R91","10k","",149.000000,-92.000000,0.000000,bottom
"R92","10k","",152.000000,-92.000000,0.000000,bottom
"R93","10k","",155.000000,-92.000000,0.000000,bottom
"SW4","RESET","",86.000000,-106.000000,0.000000,bottom
"SW5","BOOT","",94.000000,-106.000000,0.000000,bottom
"U1","ESP32-S3-WROOM-1-N16R8","",151.000000,-74.000000,0.000000,bottom
"U2","BQ24074RGTR","",143.000000,-103.000000,0.000000,bottom
"U3","TPS63070RNMR","",128.000000,-94.000000,0.000000,bottom
"U4","TPS61023DRLR","",134.000000,-80.000000,0.000000,bottom
"U5","MAX98357AETE+T","",64.000000,-94.000000,0.000000,bottom
"U7","BQ27441DRZR-G1A","",128.000000,-106.000000,0.000000,bottom
"U8","USBLC6-2SC6","",116.000000,-101.000000,0.000000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",68.000000,-68.000000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",135.000000,-62.000000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",112.000000,-118.000000,0.000000,top
"J1","USB-C USB2 Sink","",108.000000,-111.000000,0.000000,top
"J2","LS027B7DH01 FPC","",108.000000,-54.000000,0.000000,top
"J3","microSD push-push","",151.000000,-104.000000,0.000000,top
"J6","Encoder daughterboard","",160.000000,-82.000000,0.000000,top
"SW1","POWER RUN/OFF","",54.000000,-92.000000,0.000000,top
"SW2","B","",60.000000,-76.000000,0.000000,top
"SW3","MENU","",60.000000,-66.000000,0.000000,top
"U6","IM73D122V01","",58.000000,-58.000000,0.000000,top
